,id,date,status,no2
222,9629,2020-10-05 15:00:00+00:00,FINAL,
223,9629,2020-10-05 15:30:00+00:00,FINAL,
224,9629,2020-10-05 16:00:00+00:00,FINAL,
225,9629,2020-10-05 16:30:00+00:00,FINAL,
226,9629,2020-10-05 17:00:00+00:00,FINAL,
227,9629,2020-10-05 17:30:00+00:00,FINAL,
228,9629,2020-10-05 18:00:00+00:00,FINAL,
229,9629,2020-10-05 18:30:00+00:00,FINAL,
230,9629,2020-10-05 19:00:00+00:00,FINAL,
231,9629,2020-10-05 19:30:00+00:00,FINAL,
232,9629,2020-10-05 20:00:00+00:00,FINAL,
233,9629,2020-10-05 20:30:00+00:00,FINAL,
234,9629,2020-10-05 21:00:00+00:00,FINAL,
235,9629,2020-10-05 21:30:00+00:00,FINAL,
236,9629,2020-10-05 22:00:00+00:00,FINAL,
237,9629,2020-10-05 22:30:00+00:00,FINAL,
238,9629,2020-10-05 23:00:00+00:00,FINAL,
239,9629,2020-10-05 23:30:00+00:00,FINAL,
240,9629,2020-10-06 00:00:00+00:00,FINAL,
241,9629,2020-10-06 00:30:00+00:00,FINAL,
242,9629,2020-10-06 01:00:00+00:00,FINAL,
243,9629,2020-10-06 01:30:00+00:00,FINAL,
244,9629,2020-10-06 02:00:00+00:00,FINAL,
245,9629,2020-10-06 02:30:00+00:00,FINAL,
246,9629,2020-10-06 03:00:00+00:00,FINAL,
247,9629,2020-10-06 03:30:00+00:00,FINAL,
248,9629,2020-10-06 04:00:00+00:00,FINAL,
249,9629,2020-10-06 04:30:00+00:00,FINAL,
250,9629,2020-10-06 05:00:00+00:00,FINAL,
251,9629,2020-10-06 05:30:00+00:00,FINAL,
252,9629,2020-10-06 06:00:00+00:00,FINAL,
253,9629,2020-10-06 06:30:00+00:00,FINAL,
254,9629,2020-10-06 07:00:00+00:00,FINAL,
255,9629,2020-10-06 07:30:00+00:00,FINAL,
256,9629,2020-10-06 08:00:00+00:00,FINAL,
257,9629,2020-10-06 08:30:00+00:00,FINAL,
258,9629,2020-10-06 09:00:00+00:00,FINAL,
259,9629,2020-10-06 09:30:00+00:00,FINAL,
260,9629,2020-10-06 10:00:00+00:00,FINAL,
261,9629,2020-10-06 10:30:00+00:00,FINAL,
262,9629,2020-10-06 11:00:00+00:00,FINAL,
263,9629,2020-10-06 11:30:00+00:00,FINAL,
264,9629,2020-10-06 12:00:00+00:00,FINAL,
265,9629,2020-10-06 12:30:00+00:00,FINAL,
266,9629,2020-10-06 13:00:00+00:00,FINAL,
267,9629,2020-10-06 13:30:00+00:00,FINAL,
268,9629,2020-10-06 14:00:00+00:00,FINAL,
269,9629,2020-10-06 14:30:00+00:00,FINAL,
270,9629,2020-10-06 15:00:00+00:00,FINAL,
271,9629,2020-10-06 15:30:00+00:00,FINAL,
272,9629,2020-10-06 16:00:00+00:00,FINAL,
273,9629,2020-10-06 16:30:00+00:00,FINAL,
274,9629,2020-10-06 17:00:00+00:00,FINAL,
275,9629,2020-10-06 17:30:00+00:00,FINAL,
276,9629,2020-10-06 18:00:00+00:00,FINAL,
277,9629,2020-10-06 18:30:00+00:00,FINAL,
278,9629,2020-10-06 19:00:00+00:00,FINAL,
279,9629,2020-10-06 19:30:00+00:00,FINAL,
280,9629,2020-10-06 20:00:00+00:00,FINAL,
281,9629,2020-10-06 20:30:00+00:00,FINAL,
282,9629,2020-10-06 21:00:00+00:00,FINAL,
283,9629,2020-10-06 21:30:00+00:00,FINAL,
284,9629,2020-10-06 22:00:00+00:00,FINAL,
285,9629,2020-10-06 22:30:00+00:00,FINAL,
286,9629,2020-10-06 23:00:00+00:00,FINAL,
287,9629,2020-10-06 23:30:00+00:00,FINAL,
288,9629,2020-10-07 00:00:00+00:00,FINAL,
289,9629,2020-10-07 00:30:00+00:00,FINAL,
290,9629,2020-10-07 01:00:00+00:00,FINAL,
291,9629,2020-10-07 01:30:00+00:00,FINAL,
292,9629,2020-10-07 02:00:00+00:00,FINAL,
293,9629,2020-10-07 02:30:00+00:00,FINAL,
294,9629,2020-10-07 03:00:00+00:00,FINAL,
295,9629,2020-10-07 03:30:00+00:00,FINAL,
296,9629,2020-10-07 04:00:00+00:00,FINAL,
297,9629,2020-10-07 04:30:00+00:00,FINAL,
298,9629,2020-10-07 05:00:00+00:00,FINAL,
299,9629,2020-10-07 05:30:00+00:00,FINAL,
300,9629,2020-10-07 06:00:00+00:00,FINAL,
301,9629,2020-10-07 06:30:00+00:00,FINAL,
302,9629,2020-10-07 07:00:00+00:00,FINAL,
303,9629,2020-10-07 07:30:00+00:00,FINAL,
304,9629,2020-10-07 08:00:00+00:00,FINAL,
305,9629,2020-10-07 08:30:00+00:00,FINAL,
306,9629,2020-10-07 09:00:00+00:00,FINAL,
307,9629,2020-10-07 09:30:00+00:00,FINAL,
308,9629,2020-10-07 10:00:00+00:00,FINAL,
309,9629,2020-10-07 10:30:00+00:00,FINAL,
310,9629,2020-10-07 11:00:00+00:00,FINAL,
311,9629,2020-10-07 11:30:00+00:00,FINAL,
312,9629,2020-10-07 12:00:00+00:00,FINAL,
313,9629,2020-10-07 12:30:00+00:00,FINAL,
314,9629,2020-10-07 13:00:00+00:00,FINAL,
315,9629,2020-10-07 13:30:00+00:00,FINAL,
316,9629,2020-10-07 14:00:00+00:00,FINAL,
317,9629,2020-10-07 14:30:00+00:00,FINAL,
318,9629,2020-10-07 15:00:00+00:00,FINAL,
319,9629,2020-10-07 15:30:00+00:00,FINAL,
320,9629,2020-10-07 16:00:00+00:00,FINAL,
321,9629,2020-10-07 16:30:00+00:00,FINAL,
322,9629,2020-10-07 17:00:00+00:00,FINAL,
323,9629,2020-10-07 17:30:00+00:00,FINAL,
324,9629,2020-10-07 18:00:00+00:00,FINAL,
325,9629,2020-10-07 18:30:00+00:00,FINAL,
326,9629,2020-10-07 19:00:00+00:00,FINAL,
327,9629,2020-10-07 19:30:00+00:00,FINAL,
328,9629,2020-10-07 20:00:00+00:00,FINAL,
329,9629,2020-10-07 20:30:00+00:00,FINAL,
330,9629,2020-10-07 21:00:00+00:00,FINAL,
331,9629,2020-10-07 21:30:00+00:00,FINAL,
332,9629,2020-10-07 22:00:00+00:00,FINAL,
333,9629,2020-10-07 22:30:00+00:00,FINAL,
334,9629,2020-10-07 23:00:00+00:00,FINAL,
335,9629,2020-10-07 23:30:00+00:00,FINAL,
336,9629,2020-10-08 00:00:00+00:00,FINAL,
337,9629,2020-10-08 00:30:00+00:00,FINAL,
338,9629,2020-10-08 01:00:00+00:00,FINAL,
339,9629,2020-10-08 01:30:00+00:00,FINAL,
340,9629,2020-10-08 02:00:00+00:00,FINAL,
341,9629,2020-10-08 02:30:00+00:00,FINAL,
342,9629,2020-10-08 03:00:00+00:00,FINAL,
343,9629,2020-10-08 03:30:00+00:00,FINAL,
344,9629,2020-10-08 04:00:00+00:00,FINAL,
345,9629,2020-10-08 04:30:00+00:00,FINAL,
346,9629,2020-10-08 05:00:00+00:00,FINAL,
347,9629,2020-10-08 05:30:00+00:00,FINAL,
348,9629,2020-10-08 06:00:00+00:00,FINAL,
349,9629,2020-10-08 06:30:00+00:00,FINAL,15.10875
350,9629,2020-10-08 07:00:00+00:00,FINAL,
351,9629,2020-10-08 07:30:00+00:00,FINAL,16.83
352,9629,2020-10-08 08:00:00+00:00,FINAL,
353,9629,2020-10-08 08:30:00+00:00,FINAL,18.169
354,9629,2020-10-08 09:00:00+00:00,FINAL,
355,9629,2020-10-08 09:30:00+00:00,FINAL,14.918
356,9629,2020-10-08 10:00:00+00:00,FINAL,
357,9629,2020-10-08 10:30:00+00:00,FINAL,17.404
358,9629,2020-10-08 11:00:00+00:00,FINAL,
359,9629,2020-10-08 11:30:00+00:00,FINAL,18.934
360,9629,2020-10-08 12:00:00+00:00,FINAL,
361,9629,2020-10-08 12:30:00+00:00,FINAL,24.098
362,9629,2020-10-08 13:00:00+00:00,FINAL,
363,9629,2020-10-08 13:30:00+00:00,FINAL,18.36
364,9629,2020-10-08 14:00:00+00:00,FINAL,
